am 12:00	ровно                                
pm 02:40	ровно   без   двадцати        минут  
pm 02:41	        без   двадцати        минут  
pm 02:42	        без   двадцати        минут  
pm 02:43	  почти без   четверти               
pm 02:44	        без   четверти               
pm 02:45	ровно   без   четверти               
pm 02:46	        без   четверти               
pm 02:47	        без   четверти               
pm 02:48	  почти без   десяти                 
pm 02:49	        без   десяти                 
pm 02:50	ровно   без   десяти                 
pm 02:51	        без   десяти                 
pm 02:52	        без   десяти                 
pm 02:53	  почти без            пяти          
pm 02:54	        без            пяти          
pm 02:55	ровно   без            пяти          
pm 02:56	        без            пяти          
pm 02:57	  почти                              
pm 02:58	  почти                              
pm 02:59	                                     

pm 03:00	ровно                                
pm 03:01	                                     
pm 03:02	                                     
pm 03:03	              начало                 
pm 03:04	              начало                 
pm 03:05	ровно                  пять   минут  
pm 03:06	                       пять   минут  
pm 03:07	                       пять   минут  
pm 03:08	  почти       десять          минут  
pm 03:09	              десять          минут  
pm 03:10	ровно         десять          минут  
pm 03:11	              десять          минут  
pm 03:12	              десять          минут  
pm 03:13	  почти       четверть               
pm 03:14	              четверть               
pm 03:15	ровно         четверть               
pm 03:16	              четверть               
pm 03:17	              четверть               
pm 03:18	  почти       двадцать        минут  
pm 03:19	              двадцать        минут  
pm 03:20	ровно         двадцать        минут  
pm 03:21	              двадцать        минут  
pm 03:22	              двадцать        минут  
pm 03:23	  почти       двадцать пять   минут  
pm 03:24	              двадцать пять   минут  
pm 03:25	ровно         двадцать пять   минут  
pm 03:26	              двадцать пять   минут  
pm 03:27	  почти       половина               
pm 03:28	  почти       половина               
pm 03:29	              половина               
pm 03:30	ровно         половина               
pm 03:31	              половина               
pm 03:32	              половина               
pm 03:33	  почти без   двадцати пяти   минут  
pm 03:34	        без   двадцати пяти   минут  
pm 03:35	ровно   без   двадцати пяти   минут  
pm 03:36	        без   двадцати пяти   минут  
pm 03:37	        без   двадцати пяти   минут  
pm 03:38	  почти без   двадцати        минут  
pm 03:39	        без   двадцати        минут  
pm 03:40	ровно   без   двадцати        минут  
pm 03:41	        без   двадцати        минут  
pm 03:42	        без   двадцати        минут  
pm 03:43	  почти без   четверти               
pm 03:44	        без   четверти               
pm 03:45	ровно   без   четверти               
pm 03:46	        без   четверти               
pm 03:47	        без   четверти               
pm 03:48	  почти без   десяти                 
pm 03:49	        без   десяти                 
pm 03:50	ровно   без   десяти                 
pm 03:51	        без   десяти                 
pm 03:52	        без   десяти                 
pm 03:53	  почти без            пяти          
pm 03:54	        без            пяти          
pm 03:55	ровно   без            пяти          
pm 03:56	        без            пяти          
pm 03:57	  почти                              
pm 03:58	  почти                              
pm 03:59	                                     

pm 04:00	ровно                                
pm 04:01	                                     
pm 04:02	                                     
pm 04:03	              начало                 
pm 04:04	              начало                 
pm 04:05	ровно                  пять   минут  
pm 04:06	                       пять   минут  
pm 04:07	                       пять   минут  
pm 04:08	  почти       десять          минут  
pm 04:09	              десять          минут  
pm 04:10	ровно         десять          минут  
pm 04:11	              десять          минут  
pm 04:12	              десять          минут  
pm 04:13	  почти       четверть               
pm 04:14	              четверть               
pm 04:15	ровно         четверть               
pm 04:16	              четверть               
pm 04:17	              четверть               
pm 04:18	  почти       двадцать        минут  
pm 04:19	              двадцать        минут  
pm 04:20	ровно         двадцать        минут  
pm 04:21	              двадцать        минут  
pm 04:22	              двадцать        минут  
pm 04:23	  почти       двадцать пять   минут  
pm 04:24	              двадцать пять   минут  
pm 04:25	ровно         двадцать пять   минут  
pm 04:26	              двадцать пять   минут  
pm 04:27	  почти       половина               
pm 04:28	  почти       половина               
pm 04:29	              половина               
pm 04:30	ровно         половина               
pm 04:31	              половина               
pm 04:32	              половина               
pm 04:33	  почти без   двадцати пяти   минут  
pm 04:34	        без   двадцати пяти   минут  
pm 04:35	ровно   без   двадцати пяти   минут  
pm 04:36	        без   двадцати пяти   минут  
pm 04:37	        без   двадцати пяти   минут  
pm 04:38	  почти без   двадцати        минут  
pm 04:39	        без   двадцати        минут  
pm 04:40	ровно   без   двадцати        минут  
pm 04:41	        без   двадцати        минут  
pm 04:42	        без   двадцати        минут  
pm 04:43	  почти без   четверти               
pm 04:44	        без   четверти               
pm 04:45	ровно   без   четверти               
pm 04:46	        без   четверти               
pm 04:47	        без   четверти               
pm 04:48	  почти без   десяти                 
pm 04:49	        без   десяти                 
pm 04:50	ровно   без   десяти                 
pm 04:51	        без   десяти                 
pm 04:52	        без   десяти                 
pm 04:53	  почти без            пяти          
pm 04:54	        без            пяти          
pm 04:55	ровно   без            пяти          
pm 04:56	        без            пяти          
pm 04:57	  почти                              
pm 04:58	  почти                              
pm 04:59	                                     

pm 05:00	ровно                                
pm 05:01	                                     
pm 05:02	                                     
pm 05:03	              начало                 
pm 05:04	              начало                 
pm 05:05	ровно                  пять   минут  
pm 05:06	                       пять   минут  
pm 05:07	                       пять   минут  
pm 05:08	  почти       десять          минут  
pm 05:09	              десять          минут  
pm 05:10	ровно         десять          минут  
pm 05:11	              десять          минут  
pm 05:12	              десять          минут  
pm 05:13	  почти       четверть               
pm 05:14	              четверть               
pm 05:15	ровно         четверть               
pm 05:16	              четверть               
pm 05:17	              четверть               
pm 05:18	  почти       двадцать        минут  
pm 05:19	              двадцать        минут  
pm 05:20	ровно         двадцать        минут  
pm 05:21	              двадцать        минут  
pm 05:22	              двадцать        минут  
pm 05:23	  почти       двадцать пять   минут  
pm 05:24	              двадцать пять   минут  
pm 05:25	ровно         двадцать пять   минут  
pm 05:26	              двадцать пять   минут  
pm 05:27	  почти       половина               
pm 05:28	  почти       половина               
pm 05:29	              половина               
pm 05:30	ровно         половина               
pm 05:31	              половина               
pm 05:32	              половина               
pm 05:33	  почти без   двадцати пяти   минут  
pm 05:34	        без   двадцати пяти   минут  
pm 05:35	ровно   без   двадцати пяти   минут  
pm 05:36	        без   двадцати пяти   минут  
pm 05:37	        без   двадцати пяти   минут  
pm 05:38	  почти без   двадцати        минут  
pm 05:39	        без   двадцати        минут  
pm 05:40	ровно   без   двадцати        минут  
pm 05:41	        без   двадцати        минут  
pm 05:42	        без   двадцати        минут  
pm 05:43	  почти без   четверти               
pm 05:44	        без   четверти               
pm 05:45	ровно   без   четверти               
pm 05:46	        без   четверти               
pm 05:47	        без   четверти               
pm 05:48	  почти без   десяти                 
pm 05:49	        без   десяти                 
pm 05:50	ровно   без   десяти                 
pm 05:51	        без   десяти                 
pm 05:52	        без   десяти                 
pm 05:53	  почти без            пяти          
pm 05:54	        без            пяти          
pm 05:55	ровно   без            пяти          
pm 05:56	        без            пяти          
pm 05:57	  почти                              
pm 05:58	  почти                              
pm 05:59	                                     

pm 06:00	ровно                                
pm 06:01	                                     
pm 06:02	                                     
pm 06:03	              начало                 
pm 06:04	              начало                 
pm 06:05	ровно                  пять   минут  
pm 06:06	                       пять   минут  
pm 06:07	                       пять   минут  
pm 06:08	  почти       десять          минут  
pm 06:09	              десять          минут  
pm 06:10	ровно         десять          минут  
pm 06:11	              десять          минут  
pm 06:12	              десять          минут  
pm 06:13	  почти       четверть               
pm 06:14	              четверть               
pm 06:15	ровно         четверть               
pm 06:16	              четверть               
pm 06:17	              четверть               
pm 06:18	  почти       двадцать        минут  
pm 06:19	              двадцать        минут  
pm 06:20	ровно         двадцать        минут  
pm 06:21	              двадцать        минут  
pm 06:22	              двадцать        минут  
pm 06:23	  почти       двадцать пять   минут  
pm 06:24	              двадцать пять   минут  
pm 06:25	ровно         двадцать пять   минут  
pm 06:26	              двадцать пять   минут  
pm 06:27	  почти       половина               
pm 06:28	  почти       половина               
pm 06:29	              половина               
pm 06:30	ровно         половина               
pm 06:31	              половина               
pm 06:32	              половина               
pm 06:33	  почти без   двадцати пяти   минут  
pm 06:34	        без   двадцати пяти   минут  
pm 06:35	ровно   без   двадцати пяти   минут  
pm 06:36	        без   двадцати пяти   минут  
pm 06:37	        без   двадцати пяти   минут  
pm 06:38	  почти без   двадцати        минут  
pm 06:39	        без   двадцати        минут  
pm 06:40	ровно   без   двадцати        минут  
pm 06:41	        без   двадцати        минут  
pm 06:42	        без   двадцати        минут  
pm 06:43	  почти без   четверти               
pm 06:44	        без   четверти               
pm 06:45	ровно   без   четверти               
pm 06:46	        без   четверти               
pm 06:47	        без   четверти               
pm 06:48	  почти без   десяти                 
pm 06:49	        без   десяти                 
pm 06:50	ровно   без   десяти                 
pm 06:51	        без   десяти                 
pm 06:52	        без   десяти                 
pm 06:53	  почти без            пяти          
pm 06:54	        без            пяти          
pm 06:55	ровно   без            пяти          
pm 06:56	        без            пяти          
pm 06:57	  почти                              
pm 06:58	  почти                              
pm 06:59	                                     

pm 07:00	ровно                                
pm 07:01	                                     
pm 07:02	                                     
pm 07:03	              начало                 
pm 07:04	              начало                 
pm 07:05	ровно                  пять   минут  
pm 07:06	                       пять   минут  
pm 07:07	                       пять   минут  
pm 07:08	  почти       десять          минут  
pm 07:09	              десять          минут  
pm 07:10	ровно         десять          минут  
pm 07:11	              десять          минут  
pm 07:12	              десять          минут  
pm 07:13	  почти       четверть               
pm 07:14	              четверть               
pm 07:15	ровно         четверть               
pm 07:16	              четверть               
pm 07:17	              четверть               
pm 07:18	  почти       двадцать        минут  
pm 07:19	              двадцать        минут  
pm 07:20	ровно         двадцать        минут  
pm 07:21	              двадцать        минут  
pm 07:22	              двадцать        минут  
pm 07:23	  почти       двадцать пять   минут  
pm 07:24	              двадцать пять   минут  
pm 07:25	ровно         двадцать пять   минут  
pm 07:26	              двадцать пять   минут  
pm 07:27	  почти       половина               
pm 07:28	  почти       половина               
pm 07:29	              половина               
pm 07:30	ровно         половина               
pm 07:31	              половина               
pm 07:32	              половина               
pm 07:33	  почти без   двадцати пяти   минут  
pm 07:34	        без   двадцати пяти   минут  
pm 07:35	ровно   без   двадцати пяти   минут  
pm 07:36	        без   двадцати пяти   минут  
pm 07:37	        без   двадцати пяти   минут  
pm 07:38	  почти без   двадцати        минут  
pm 07:39	        без   двадцати        минут  
pm 07:40	ровно   без   двадцати        минут  
pm 07:41	        без   двадцати        минут  
pm 07:42	        без   двадцати        минут  
pm 07:43	  почти без   четверти               
pm 07:44	        без   четверти               
pm 07:45	ровно   без   четверти               
pm 07:46	        без   четверти               
pm 07:47	        без   четверти               
pm 07:48	  почти без   десяти                 
pm 07:49	        без   десяти                 
pm 07:50	ровно   без   десяти                 
pm 07:51	        без   десяти                 
pm 07:52	        без   десяти                 
pm 07:53	  почти без            пяти          
pm 07:54	        без            пяти          
pm 07:55	ровно   без            пяти          
pm 07:56	        без            пяти          
pm 07:57	  почти                              
pm 07:58	  почти                              
pm 07:59	                                     

pm 08:00	ровно                                
pm 08:01	                                     
pm 08:02	                                     
pm 08:03	              начало                 
pm 08:04	              начало                 
pm 08:05	ровно                  пять   минут  
pm 08:06	                       пять   минут  
pm 08:07	                       пять   минут  
pm 08:08	  почти       десять          минут  
pm 08:09	              десять          минут  
pm 08:10	ровно         десять          минут  
pm 08:11	              десять          минут  
pm 08:12	              десять          минут  
pm 08:13	  почти       четверть               
pm 08:14	              четверть               
pm 08:15	ровно         четверть               
pm 08:16	              четверть               
pm 08:17	              четверть               
pm 08:18	  почти       двадцать        минут  
pm 08:19	              двадцать        минут  
pm 08:20	ровно         двадцать        минут  
pm 08:21	              двадцать        минут  
pm 08:22	              двадцать        минут  
pm 08:23	  почти       двадцать пять   минут  
pm 08:24	              двадцать пять   минут  
pm 08:25	ровно         двадцать пять   минут  
pm 08:26	              двадцать пять   минут  
pm 08:27	  почти       половина               
pm 08:28	  почти       половина               
pm 08:29	              половина               
pm 08:30	ровно         половина               
pm 08:31	              половина               
pm 08:32	              половина               
pm 08:33	  почти без   двадцати пяти   минут  
pm 08:34	        без   двадцати пяти   минут  
pm 08:35	ровно   без   двадцати пяти   минут  
pm 08:36	        без   двадцати пяти   минут  
pm 08:37	        без   двадцати пяти   минут  
pm 08:38	  почти без   двадцати        минут  
pm 08:39	        без   двадцати        минут  
pm 08:40	ровно   без   двадцати        минут  
pm 08:41	        без   двадцати        минут  
pm 08:42	        без   двадцати        минут  
pm 08:43	  почти без   четверти               
pm 08:44	        без   четверти               
pm 08:45	ровно   без   четверти               
pm 08:46	        без   четверти               
pm 08:47	        без   четверти               
pm 08:48	  почти без   десяти                 
pm 08:49	        без   десяти                 
pm 08:50	ровно   без   десяти                 
pm 08:51	        без   десяти                 
pm 08:52	        без   десяти                 
pm 08:53	  почти без            пяти          
pm 08:54	        без            пяти          
pm 08:55	ровно   без            пяти          
pm 08:56	        без            пяти          
pm 08:57	  почти                              
pm 08:58	  почти                              
pm 08:59	                                     

pm 09:00	ровно                                
pm 09:01	                                     
pm 09:02	                                     
pm 09:03	              начало                 
pm 09:04	              начало                 
pm 09:05	ровно                  пять   минут  
pm 09:06	                       пять   минут  
pm 09:07	                       пять   минут  
pm 09:08	  почти       десять          минут  
pm 09:09	              десять          минут  
pm 09:10	ровно         десять          минут  
pm 09:11	              десять          минут  
pm 09:12	              десять          минут  
pm 09:13	  почти       четверть               
pm 09:14	              четверть               
pm 09:15	ровно         четверть               
pm 09:16	              четверть               
pm 09:17	              четверть               
pm 09:18	  почти       двадцать        минут  
pm 09:19	              двадцать        минут  
pm 09:20	ровно         двадцать        минут  
pm 09:21	              двадцать        минут  
pm 09:22	              двадцать        минут  
pm 09:23	  почти       двадцать пять   минут  
pm 09:24	              двадцать пять   минут  
pm 09:25	ровно         двадцать пять   минут  
pm 09:26	              двадцать пять   минут  
pm 09:27	  почти       половина               
pm 09:28	  почти       половина               
pm 09:29	              половина               
pm 09:30	ровно         половина               
pm 09:31	              половина               
pm 09:32	              половина               
pm 09:33	  почти без   двадцати пяти   минут  
pm 09:34	        без   двадцати пяти   минут  
pm 09:35	ровно   без   двадцати пяти   минут  
pm 09:36	        без   двадцати пяти   минут  
pm 09:37	        без   двадцати пяти   минут  
pm 09:38	  почти без   двадцати        минут  
pm 09:39	        без   двадцати        минут  
pm 09:40	ровно   без   двадцати        минут  
pm 09:41	        без   двадцати        минут  
pm 09:42	        без   двадцати        минут  
pm 09:43	  почти без   четверти               
pm 09:44	        без   четверти               
pm 09:45	ровно   без   четверти               
pm 09:46	        без   четверти               
pm 09:47	        без   четверти               
pm 09:48	  почти без   десяти                 
pm 09:49	        без   десяти                 
pm 09:50	ровно   без   десяти                 
pm 09:51	        без   десяти                 
pm 09:52	        без   десяти                 
pm 09:53	  почти без            пяти          
pm 09:54	        без            пяти          
pm 09:55	ровно   без            пяти          
pm 09:56	        без            пяти          
pm 09:57	  почти                              
pm 09:58	  почти                              
pm 09:59	                                     

pm 10:00	ровно                                
pm 10:01	                                     
pm 10:02	                                     
pm 10:03	              начало                 
pm 10:04	              начало                 
pm 10:05	ровно                  пять   минут  
pm 10:06	                       пять   минут  
pm 10:07	                       пять   минут  
pm 10:08	  почти       десять          минут  
pm 10:09	              десять          минут  
pm 10:10	ровно         десять          минут  
pm 10:11	              десять          минут  
pm 10:12	              десять          минут  
pm 10:13	  почти       четверть               
pm 10:14	              четверть               
pm 10:15	ровно         четверть               
pm 10:16	              четверть               
pm 10:17	              четверть               
pm 10:18	  почти       двадцать        минут  
pm 10:19	              двадцать        минут  
pm 10:20	ровно         двадцать        минут  
pm 10:21	              двадцать        минут  
pm 10:22	              двадцать        минут  
pm 10:23	  почти       двадцать пять   минут  
pm 10:24	              двадцать пять   минут  
pm 10:25	ровно         двадцать пять   минут  
pm 10:26	              двадцать пять   минут  
pm 10:27	  почти       половина               
pm 10:28	  почти       половина               
pm 10:29	              половина               
pm 10:30	ровно         половина               
pm 10:31	              половина               
pm 10:32	              половина               
pm 10:33	  почти без   двадцати пяти   минут  
pm 10:34	        без   двадцати пяти   минут  
pm 10:35	ровно   без   двадцати пяти   минут  
pm 10:36	        без   двадцати пяти   минут  
pm 10:37	        без   двадцати пяти   минут  
pm 10:38	  почти без   двадцати        минут  
pm 10:39	        без   двадцати        минут  
pm 10:40	ровно   без   двадцати        минут  
pm 10:41	        без   двадцати        минут  
pm 10:42	        без   двадцати        минут  
pm 10:43	  почти без   четверти               
pm 10:44	        без   четверти               
pm 10:45	ровно   без   четверти               
pm 10:46	        без   четверти               
pm 10:47	        без   четверти               
pm 10:48	  почти без   десяти                 
pm 10:49	        без   десяти                 
pm 10:50	ровно   без   десяти                 
pm 10:51	        без   десяти                 
pm 10:52	        без   десяти                 
pm 10:53	  почти без            пяти          
pm 10:54	        без            пяти          
pm 10:55	ровно   без            пяти          
pm 10:56	        без            пяти          
pm 10:57	  почти                              
pm 10:58	  почти                              
pm 10:59	                                     

pm 11:00	ровно                                
pm 11:01	                                     
pm 11:02	                                     
pm 11:03	              начало                 
pm 11:04	              начало                 
pm 11:05	ровно                  пять   минут  
pm 11:06	                       пять   минут  
pm 11:07	                       пять   минут  
pm 11:08	  почти       десять          минут  
pm 11:09	              десять          минут  
pm 11:10	ровно         десять          минут  
pm 11:11	              десять          минут  
pm 11:12	              десять          минут  
pm 11:13	  почти       четверть               
pm 11:14	              четверть               
pm 11:15	ровно         четверть               
pm 11:16	              четверть               
pm 11:17	              четверть               
pm 11:18	  почти       двадцать        минут  
pm 11:19	              двадцать        минут  
pm 11:20	ровно         двадцать        минут  
pm 11:21	              двадцать        минут  
pm 11:22	              двадцать        минут  
pm 11:23	  почти       двадцать пять   минут  
pm 11:24	              двадцать пять   минут  
pm 11:25	ровно         двадцать пять   минут  
pm 11:26	              двадцать пять   минут  
pm 11:27	  почти       половина               
pm 11:28	  почти       половина               
pm 11:29	              половина               
pm 11:30	ровно         половина               
pm 11:31	              половина               
pm 11:32	              половина               
pm 11:33	  почти без   двадцати пяти   минут  
pm 11:34	        без   двадцати пяти   минут  
pm 11:35	ровно   без   двадцати пяти   минут  
pm 11:36	        без   двадцати пяти   минут  
pm 11:37	        без   двадцати пяти   минут  
pm 11:38	  почти без   двадцати        минут  
pm 11:39	        без   двадцати        минут  
pm 11:40	ровно   без   двадцати        минут  
pm 11:41	        без   двадцати        минут  
pm 11:42	        без   двадцати        минут  
pm 11:43	  почти без   четверти               
pm 11:44	        без   четверти               
pm 11:45	ровно   без   четверти               
pm 11:46	        без   четверти               
pm 11:47	        без   четверти               
pm 11:48	  почти без   десяти                 
pm 11:49	        без   десяти                 
pm 11:50	ровно   без   десяти                 
pm 11:51	        без   десяти                 
pm 11:52	        без   десяти                 
pm 11:53	  почти без            пяти          
pm 11:54	        без            пяти          
pm 11:55	ровно   без            пяти          
pm 11:56	        без            пяти          
pm 11:57	  почти                              
pm 11:58	  почти                              
pm 11:59	                                     


